,VLUE,MTUM,USMV,QUAL,LRGF
Ticker,VLUE,MTUM,USMV,QUAL,LRGF
Date,,,,,
2019-01-02,61.612510681152344,92.55430603027344,46.5205078125,70.16438293457031,25.260448455810547
2019-01-03,60.44444274902344,89.997802734375,45.83980941772461,68.3992919921875,24.624847412109375
2019-01-04,62.56206130981445,93.00982666015625,46.842952728271484,70.8136978149414,25.414810180664062
2019-01-07,63.284732818603516,93.90227508544922,46.995208740234375,71.2435531616211,25.614561080932617
2019-01-08,63.71330261230469,95.06431579589844,47.39826583862305,72.01176452636719,25.896041870117188
2019-01-09,64.13346862792969,95.62210845947266,47.40721893310547,72.41416931152344,26.10487937927246
2019-01-10,64.33515930175781,95.75223541259766,47.76547622680664,72.743408203125,26.222925186157227
2019-01-11,64.75531005859375,95.81732177734375,47.77443313598633,72.5330581665039,26.29555892944336
2019-01-14,64.36878204345703,94.98063659667969,47.425132751464844,72.14894104003906,26.10487937927246
2019-01-15,64.58724212646484,96.47735595703125,47.89982223510742,72.80742645263672,26.313720703125
2019-01-16,64.75531005859375,96.32860565185547,47.89087677001953,72.87144470214844,26.413599014282227
2019-01-17,65.25950622558594,97.06301879882812,48.21330642700195,73.5299301147461,26.640596389770508
2019-01-18,66.25948333740234,98.08561706542969,48.75069808959961,74.51764678955078,27.01287269592285
2019-01-22,65.21746826171875,97.00726318359375,48.41035079956055,73.45674896240234,26.65876007080078
2019-01-23,65.15865325927734,97.30474090576172,48.68800735473633,73.50248718261719,26.6224422454834
2019-01-24,65.63766479492188,97.01654815673828,48.57156753540039,73.5665054321289,26.749557495117188
2019-01-25,66.29309844970703,97.64868927001953,48.74175262451172,74.37129974365234,27.040117263793945
2019-01-28,65.97376251220703,96.67257690429688,48.6342658996582,73.8591537475586,26.922075271606445
2019-01-29,65.98218536376953,96.2728271484375,48.71488952636719,73.89573669433594,26.967479705810547
2019-01-30,66.51996612548828,98.2901382446289,49.2343635559082,74.82860565185547,27.30343246459961
2019-01-31,66.98219299316406,99.19188690185547,49.58366775512695,75.99005889892578,27.52135467529297
2019-02-01,67.20904541015625,99.37781524658203,49.70009994506836,76.32843780517578,27.475955963134766
2019-02-04,67.39392852783203,99.56373596191406,50.04940414428711,76.83143615722656,27.612157821655273
2019-02-05,67.4611587524414,99.72177124023438,50.19271469116211,77.33445739746094,27.67571449279785
2019-02-06,67.67122650146484,99.79613494873047,50.121055603027344,77.19725799560547,27.7120361328125
2019-02-07,66.72167205810547,99.34990692138672,50.01357650756836,76.42904663085938,27.448715209960938
2019-02-08,66.4695816040039,99.7310791015625,50.219573974609375,76.6302490234375,27.457794189453125
2019-02-11,66.57041931152344,99.7310791015625,50.22854232788086,76.71257019042969,27.46687889099121
2019-02-12,67.4611587524414,100.77228546142578,50.5868034362793,77.59052276611328,27.820993423461914
2019-02-13,67.87289428710938,100.8187484741211,50.703250885009766,78.02949523925781,27.9753475189209
2019-02-14,67.71324920654297,100.69789123535156,50.559932708740234,77.88319396972656,27.957195281982422
2019-02-15,68.55358123779297,101.75768280029297,51.07941436767578,78.6788558959961,28.29315185546875
2019-02-19,68.8224868774414,101.83203887939453,51.18689727783203,78.6788558959961,28.320390701293945
2019-02-20,68.9737319946289,101.79486083984375,51.2316780090332,78.99893951416016,28.429346084594727
2019-02-21,68.56197357177734,101.99007415771484,51.258548736572266,78.5691146850586,28.31131362915039
2019-02-22,68.91490173339844,102.71519470214844,51.53620147705078,79.33733367919922,28.574626922607422
2019-02-25,69.10818481445312,102.51997375488281,51.39289093017578,79.40133666992188,28.547391891479492
2019-02-26,68.99053955078125,102.51997375488281,51.36602020263672,79.383056640625,28.465673446655273
2019-02-27,68.67121124267578,102.29683685302734,51.3570671081543,79.49279022216797,28.402111053466797
2019-02-28,68.25103759765625,102.55716705322266,51.48246383666992,79.30074310302734,28.2568302154541
2019-03-01,68.486328125,103.06846618652344,51.75115966796875,79.87689971923828,28.429346084594727
2019-03-04,68.00736999511719,102.27825927734375,51.473514556884766,79.66654968261719,28.202350616455078
2019-03-05,67.70484924316406,102.23179626464844,51.464542388916016,79.57511901855469,28.147871017456055
2019-03-06,66.88134765625,101.66474151611328,51.26750946044922,79.28245544433594,27.884550094604492
2019-03-07,66.30150604248047,101.05115509033203,51.034629821777344,78.64226531982422,27.648469924926758
2019-03-08,66.23429107666016,100.76298522949219,50.98985290527344,78.4959487915039,27.557682037353516
2019-03-11,67.18384552001953,102.08303833007812,51.57202911376953,79.70313262939453,27.957195281982422
2019-03-12,67.35192108154297,102.50137329101562,51.70637893676758,80.03238677978516,28.038909912109375
2019-03-13,67.73847198486328,103.0870590209961,51.975074768066406,80.46221160888672,28.22051239013672
2019-03-14,67.54517364501953,103.10565185546875,51.9302864074707,80.43478393554688,28.202350616455078
2019-03-15,67.94853210449219,103.68202209472656,52.109413146972656,80.79145812988281,28.284069061279297
2019-03-18,68.27625274658203,103.70992279052734,52.14524459838867,80.8920669555664,28.447509765625
2019-03-19,68.32667541503906,103.93301391601562,52.028812408447266,80.84632873535156,28.411197662353516
2019-03-20,67.49120330810547,103.60813903808594,51.836360931396484,80.68472290039062,28.16057014465332
2019-03-21,68.46466064453125,104.7284164428711,52.50185012817383,81.48357391357422,28.616243362426758
2019-03-22,66.92403411865234,103.54277801513672,52.09714889526367,79.99604034423828,28.00564193725586
2019-03-25,66.61930084228516,103.65480041503906,52.16011047363281,79.968505859375,27.950958251953125
2019-03-26,67.20339965820312,104.33631134033203,52.54681396484375,80.69390106201172,28.069433212280273
