iShares MSCI USA Quality Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Jul 16, 2013"
Shares Outstanding,"283,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","337,954,881.60","0.71","337,954,881.60","4,337,760.00","77.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LULU","LULULEMON ATHLETICA INC","Consumer Discretionary","Equity","336,001,787.40","0.71","336,001,787.40","1,254,206.00","267.90","United States","NASDAQ","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","334,611,103.68","0.70","334,611,103.68","1,526,232.00","219.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","322,708,508.46","0.68","322,708,508.46","2,419,467.00","133.38","United States","NASDAQ","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","319,939,086.24","0.67","319,939,086.24","2,568,554.00","124.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","307,781,247.70","0.65","307,781,247.70","4,057,762.00","75.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","300,778,659.90","0.63","300,778,659.90","1,129,473.00","266.30","United States","NASDAQ","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","299,315,274.28","0.63","299,315,274.28","4,007,971.00","74.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","298,288,838.44","0.63","298,288,838.44","2,172,217.00","137.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","291,006,321.76","0.61","291,006,321.76","1,004,752.00","289.63","United States","NASDAQ","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","287,853,736.32","0.60","287,853,736.32","1,446,792.00","198.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
