,VLUE,MTUM,USMV,QUAL,LRGF
Ticker,VLUE,MTUM,USMV,QUAL,LRGF
Date,,,,,
2019-07-10,154700,611600,3748100,459900,68200
2019-07-11,140000,1052200,2246700,860500,84500
2019-07-12,144400,907800,3352400,738000,192600
2019-07-15,219900,538300,2125400,1001700,80900
2019-07-16,146800,619700,3446500,1028700,187700
2019-07-17,134000,2444600,3339300,438800,68700
2019-07-18,187300,938500,3187500,657500,307100
2019-07-19,285500,1003400,3531800,541300,57200
2019-07-22,186300,666400,3161500,300500,105800
2019-07-23,255900,608200,2953500,508100,188100
2019-07-24,204300,786900,5032600,342400,82500
2019-07-25,141600,762200,3283100,401100,102900
2019-07-26,173800,1879300,4351200,1134500,80200
2019-07-29,522900,2307300,4566300,1388400,62600
2019-07-30,487900,1639200,4533800,862300,198300
2019-07-31,237800,826200,3744800,617300,291100
2019-08-01,573800,3194900,7705500,1148800,173800
2019-08-02,1307800,1827900,7858600,4307500,146200
2019-08-05,594100,1337400,6193100,3982100,150900
2019-08-06,1254200,1932800,10287300,1924300,199900
2019-08-07,928000,1580800,6181000,1310000,144000
2019-08-08,656900,1761100,8346900,1277700,160500
2019-08-09,214300,600000,4373900,887100,104400
2019-08-12,152100,512500,3977900,491700,59100
2019-08-13,469300,3042100,5575500,731200,253700
2019-08-14,363300,1030400,5350300,869600,535100
2019-08-15,407800,1049000,5444400,1321000,361400
2019-08-16,303700,1249500,6079400,472200,118500
2019-08-19,165100,823100,2599600,460900,774600
2019-08-20,300900,579000,3370300,532000,295100
2019-08-21,151600,464600,3742200,301800,237400
2019-08-22,160800,444600,3445500,480500,112200
2019-08-23,417400,1497000,9339300,735500,328900
2019-08-26,283600,566200,4118400,707800,131500
2019-08-27,240400,594300,4685100,1075600,276700
2019-08-28,381100,1070200,6153400,1037100,133300
2019-08-29,341400,594700,3539600,530800,129900
2019-08-30,226500,1510400,3685500,679900,173900
2019-09-03,405700,717400,6671800,635800,160100
2019-09-04,312200,1046200,3244900,590100,221300
2019-09-05,223200,757900,4545400,348200,81900
2019-09-06,127500,853500,4544900,387100,69300
2019-09-09,729700,1430500,4988900,709200,42300
2019-09-10,1142800,2601900,5443600,794300,77400
2019-09-11,939200,2791700,6003300,367200,81100
2019-09-12,912600,2358700,4760100,579500,188100
2019-09-13,540100,2501000,5810200,631600,146900
2019-09-16,397700,1234400,3359000,428900,157200
2019-09-17,265200,1169700,3418800,398100,167900
2019-09-18,309900,570400,2568000,430200,93300
2019-09-19,219600,642900,3771700,288800,185600
2019-09-20,281700,1414000,4177400,386800,169600
