iShares MSCI USA Value Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 16, 2013"
Shares Outstanding,"61,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CNC","CENTENE CORP","Health Care","Equity","49,589,227.89","0.80","49,589,227.89","859,581.00","57.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","45,395,773.47","0.73","45,395,773.47","494,023.00","91.89","United States","NASDAQ","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","44,085,229.77","0.71","44,085,229.77","464,593.00","94.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","40,490,577.82","0.65","40,490,577.82","355,586.00","113.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","40,239,886.95","0.65","40,239,886.95","220,215.00","182.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZM","ZOOM COMMUNICATIONS INC CLASS A","Information Technology","Equity","37,292,182.79","0.60","37,292,182.79","490,493.00","76.03","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","35,004,323.53","0.56","35,004,323.53","431,779.00","81.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSN","TYSON FOODS INC CLASS A","Consumer Staples","Equity","34,898,206.56","0.56","34,898,206.56","575,688.00","60.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","33,721,380.88","0.54","33,721,380.88","114,988.00","293.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","33,241,824.00","0.53","33,241,824.00","52,465.00","633.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","32,355,367.74","0.52","32,355,367.74","398,367.00","81.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TAP","MOLSON COORS BREWING CLASS B","Consumer Staples","Equity","32,005,436.80","0.51","32,005,436.80","563,476.00","56.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","31,015,142.46","0.50","31,015,142.46","823,338.00","37.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","30,539,109.36","0.49","30,539,109.36","241,149.00","126.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","30,449,079.36","0.49","30,449,079.36","190,176.00","160.11","United States","NASDAQ","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","30,078,447.36","0.48","30,078,447.36","219,936.00","136.76","United States","NASDAQ","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","29,944,798.56","0.48","29,944,798.56","138,582.00","216.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","28,638,385.60","0.46","28,638,385.60","247,480.00","115.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","28,106,784.90","0.45","28,106,784.90","709,230.00","39.63","United States","NASDAQ","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","27,986,845.85","0.45","27,986,845.85","372,215.00","75.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FFIV","F5 INC","Information Technology","Equity","27,894,099.00","0.45","27,894,099.00","103,300.00","270.03","United States","NASDAQ","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","27,649,332.80","0.44","27,649,332.80","550,345.00","50.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","27,493,454.65","0.44","27,493,454.65","3,200,635.00","8.59","United States","NASDAQ","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","27,477,321.30","0.44","27,477,321.30","349,362.00","78.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","27,148,394.40","0.44","27,148,394.40","680,070.00","39.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBA","WALGREEN BOOTS ALLIANCE INC","Consumer Staples","Equity","27,124,147.92","0.44","27,124,147.92","2,463,592.00","11.01","United States","NASDAQ","USD","1.00","USD","-"
"JBL","JABIL INC","Information Technology","Equity","27,046,062.04","0.43","27,046,062.04","184,087.00","146.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","26,694,435.90","0.43","26,694,435.90","1,557,435.00","17.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","26,655,010.20","0.43","26,655,010.20","259,038.00","102.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
