iShares U.S. Equity Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 28, 2015"
Shares Outstanding,"39,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"QCOM","QUALCOMM INC","Information Technology","Equity","12,355,586.64","0.55","12,355,586.64","83,169.00","148.56","United States","NASDAQ","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","11,783,170.26","0.52","11,783,170.26","59,382.00","198.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","11,665,997.46","0.52","11,665,997.46","21,411.00","544.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","11,592,949.62","0.51","11,592,949.62","140,113.00","82.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","11,516,254.76","0.51","11,516,254.76","83,012.00","138.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","11,466,805.00","0.51","11,466,805.00","16,499.00","695.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","11,054,971.00","0.49","11,054,971.00","108,595.00","101.80","United States","NASDAQ","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","10,920,993.09","0.48","10,920,993.09","231,819.00","47.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MNDY","MONDAYCOM LTD","Information Technology","Equity","10,850,126.00","0.48","10,850,126.00","39,599.00","274.00","Israel","NASDAQ","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","10,634,232.57","0.47","10,634,232.57","5,447.00","1,952.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","10,326,072.26","0.46","10,326,072.26","14,866.00","694.61","United States","NASDAQ","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","10,152,296.44","0.45","10,152,296.44","148,382.00","68.42","United States","NASDAQ","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","10,024,984.60","0.44","10,024,984.60","123,430.00","81.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","10,024,719.39","0.44","10,024,719.39","97,167.00","103.17","United States","NASDAQ","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","9,993,592.00","0.44","9,993,592.00","16,100.00","620.72","Sweden","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTNX","NUTANIX INC CLASS A","Information Technology","Equity","9,964,059.08","0.44","9,964,059.08","148,363.00","67.16","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","9,779,972.16","0.43","9,779,972.16","34,824.00","280.84","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","9,756,000.00","0.43","9,756,000.00","20,325.00","480.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","9,570,338.19","0.42","9,570,338.19","141,093.00","67.83","United States","NASDAQ","USD","1.00","USD","-"
"TEAM","ATLASSIAN CORP CLASS A","Information Technology","Equity","9,453,631.20","0.42","9,453,631.20","41,340.00","228.68","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","9,406,289.76","0.42","9,406,289.76","32,568.00","288.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","9,404,795.50","0.42","9,404,795.50","120,962.00","77.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","9,253,048.56","0.41","9,253,048.56","85,724.00","107.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","9,191,118.27","0.41","9,191,118.27","39,547.00","232.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","9,184,014.37","0.41","9,184,014.37","161,947.00","56.71","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","9,091,029.85","0.40","9,091,029.85","59,987.00","151.55","United States","NASDAQ","USD","1.00","USD","-"
"CNM","CORE & MAIN INC CLASS A","Industrials","Equity","8,975,380.86","0.40","8,975,380.86","170,862.00","52.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSM","WILLIAMS SONOMA INC","Consumer Discretionary","Equity","8,922,477.85","0.39","8,922,477.85","59,015.00","151.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","8,759,152.20","0.39","8,759,152.20","94,755.00","92.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","8,719,591.34","0.39","8,719,591.34","31,498.00","276.83","United States","NASDAQ","USD","1.00","USD","-"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","8,582,877.60","0.38","8,582,877.60","3,856.00","2,225.85","United States","NASDAQ","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","8,569,190.00","0.38","8,569,190.00","122,417.00","70.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","8,524,749.52","0.38","8,524,749.52","524,923.00","16.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","8,506,724.16","0.38","8,506,724.16","202,976.00","41.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","8,434,224.00","0.37","8,434,224.00","66,600.00","126.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NU","NU HOLDINGS LTD CLASS A","Financials","Equity","8,285,506.84","0.37","8,285,506.84","689,884.00","12.01","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
