Année,Rendement (%),Volatilité (%),Sharpe Ratio,Alpha (%),Beta,Tracking Error (%),Max Drawdown (%)
2019,49.22,16.49,2.85,5.8,1.18,6.3,-10.88
2020,41.84,37.76,1.08,20.12,1.07,11.24,-32.19
2021,44.56,17.42,2.55,7.2,1.18,7.58,-6.78
2022,-22.85,31.45,-0.78,1.78,1.18,9.22,-30.48
2023,59.91,16.57,3.34,17.41,1.11,6.45,-7.77
2024,35.05,15.13,2.01,6.83,1.11,5.05,-10.89
